Subject,Predicate,Object
Sakis Rouvas,Instrument,Stimme
Sean Penn,Land der Staatsangehörigkeit,Vereinigte Staaten
Massimo Bontempelli,Tätigkeit,Komponist
Stephen Hawking,Tätigkeit,Fernsehschauspieler
Edward Stanislawowitsch Radsinski,Genre,Powest
Tschechien,Kontinent,Europa
Heinrich Wilhelm Waldeyer,Tätigkeit,Hochschullehrer
Philippinen,diplomatische Beziehung,Singapur
David Hasselhoff,Tätigkeit,Sprecher
Mexiko,diplomatische Beziehung,Costa Rica
Lettland,diplomatische Beziehung,Kosovo
Tomáš Garrigue Masaryk,Tätigkeit,Journalist
Slowakei,diplomatische Beziehung,Slowenien
Diana Ross,Plattenlabel,Motown
Joss Stone,Tätigkeit,Sänger
Jean-Luc Godard,Ehepartner(in),Anna Karina
Henry Le Chatelier,Mitglied von,Accademia Nazionale delle Scienze
Max Born,Sterbeort,Göttingen
Kasachstan,Mitglied von,Internationale Finanz-Corporation
J. J. Abrams,Tätigkeit,Filmkomponist
Julian Klaczko,gesprochene oder publizierte Sprachen,Polnisch
Andrei Sergejewitsch Michalkow-Kontschalowski,Geburtsort,Moskau
Simbabwe,diplomatische Beziehung,Angola
Jacobus Henricus van ’t Hoff,Mitglied von,Sankt Petersburger Akademie der Wissenschaften
Mongolei,Mitglied von,Weltpostverein
Vietnam,diplomatische Beziehung,Deutschland
Venezuela,Mitglied von,International Hydrographic Organization
Billie Holiday,Tätigkeit,Autobiograf
Snoop Dogg,Tätigkeit,Produzent
David Hasselhoff,Instrument,Stimme
George Henschel,gesprochene oder publizierte Sprachen,Englisch
Sean Combs,Tätigkeit,Musikproduzent
Stephen Hawking,Wohnsitz,England
Tatjana Nikititschna Tolstaja,Tätigkeit,Schriftsteller
Bob Seger,Tätigkeit,Musiker
Konstantin Eduardowitsch Ziolkowski,Tätigkeit,Schriftsteller
Thomas Hobbes,gesprochene oder publizierte Sprachen,Englisch
Éric Rohmer,Tätigkeit,Lehrer
Bob Mould,gesprochene oder publizierte Sprachen,Englisch
Joseph E. Stiglitz,Parteizugehörigkeit,Demokratische Partei
Jemaine Clement,Tätigkeit,Executive Producer
Chile,Mitglied von,Internationale Finanz-Corporation
Mauretanien,Mitglied von,
Hector Berlioz,Sterbeort,Paris
Iggy Pop,Tätigkeit,Schauspieler
Brasilien,diplomatische Beziehung,Demokratische Republik Kongo
Alexander von Humboldt,Tätigkeit,
Chile,diplomatische Beziehung,Ungarn
Norman Wisdom,Tätigkeit,Sänger
Charles Wheatstone,Mitglied von,Königlich Schwedische Akademie der Wissenschaften
Sambia,diplomatische Beziehung,Australien
Richard Francis Burton,Tätigkeit,Naturwissenschaftler
Al Franken,Wohnsitz,New York City
Colbie Caillat,Genre,Pop-Rock
Polydor,Staat,Deutschland
Bulat Schalwowitsch Okudschawa,Tätigkeit,Komponist
Nigeria,diplomatische Beziehung,Südafrika
Brasilien,diplomatische Beziehung,Libanon
Mosambik,diplomatische Beziehung,Australien
Usbekistan,diplomatische Beziehung,Rumänien
Jonathan Winters,Tätigkeit,Maler
Simon Newcomb,Tätigkeit,Astronom
Rebbie Jackson,Tätigkeit,Schauspieler
Republik China,diplomatische Beziehung,Haiti
Big Sean,Land der Staatsangehörigkeit,Vereinigte Staaten
Alejandro Jodorowsky,gesprochene oder publizierte Sprachen,Spanisch
Avril Lavigne,Arbeitsgebiet,Musikkomposition
Kroatien,diplomatische Beziehung,Montenegro
Isaac Hayes,gesprochene oder publizierte Sprachen,Englisch
Atco-Records,Genre,Metal
Spanien,diplomatische Beziehung,Vereinigtes Königreich
Janis Joplin,Tätigkeit,Singer-Songwriter
Judd Apatow,Tätigkeit,Filmregisseur
Friedrich Wilhelm Joseph Schelling,Arbeitgeber,Humboldt-Universität zu Berlin
Sambia,Mitglied von,Weltpostverein
Sarah McLachlan,Instrument,Gitarre
Hongkong,Mitglied von,Interpol
Johannes Paul II.,Tätigkeit,Menschenrechtler
John Keats,Todesursache,Tuberkulose
Marlon Jackson,Tätigkeit,Musiker
Charles Rosen,Sterbeort,Manhattan
Ghana,diplomatische Beziehung,Australien
Joseph Priestley,Tätigkeit,Theologe
Isaac Bashevis Singer,Land der Staatsangehörigkeit,Polen
Wassily Kandinsky,Bevölkerungsgruppe,Russen
Frankreich,Mitglied von,
Indonesien,diplomatische Beziehung,Chile
Jeschajahu Leibowitz,Tätigkeit,Pädagoge
Sergei Wladimirowitsch Michalkow,Tätigkeit,Kinderbuchautor
Alexander Sergejewitsch Puschkin,Sterbeort,Sankt Petersburg
Volksrepublik China,diplomatische Beziehung,Mauretanien
Hector Berlioz,Tätigkeit,Musikkritiker
Kasachstan,diplomatische Beziehung,Weißrussland
Chile,diplomatische Beziehung,Jamaika
Joseph-Louis Lagrange,Land der Staatsangehörigkeit,Frankreich
Griechenland,diplomatische Beziehung,Äthiopien
George Tabori,Tätigkeit,Dramatiker
Patrice Chéreau,Tätigkeit,Filmregisseur
William Faulkner,Tätigkeit,Kurzgeschichtenautor
Mos Def,Tätigkeit,Filmschauspieler
Meaghan Jette Martin,Tätigkeit,Filmschauspieler
Charlotte Church,Tätigkeit,Singer-Songwriter
Antigua und Barbuda,Kontinent,Nordamerika
Dolly Parton,Tätigkeit,Fernsehschauspieler
Enrique Iglesias,Instrument,Klavier
Daniel Lanois,Bewegung,Atheismus
Akon,Land der Staatsangehörigkeit,Vereinigte Staaten
Tori Amos,Genre,Alternative Rock
Sven Hedin,Tätigkeit,Politiker
Bolivien,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Robert Musil,Tätigkeit,Romancier
Emanuel Swedenborg,Tätigkeit,Mathematiker
Donald Glover,Tätigkeit,DJ
Serge Gainsbourg,Tätigkeit,Jazzmusiker
Japan,diplomatische Beziehung,Kosovo
Mylène Farmer,Tätigkeit,Schriftsteller
Kroatien,Mitglied von,Welthandelsorganisation
Igor Strawinsky,Wohnsitz,New York City
Ani DiFranco,Religionszugehörigkeit,Atheismus
Republik China,diplomatische Beziehung,Sambia
Vereinigte Arabische Emirate,diplomatische Beziehung,Kuwait
William S. Burroughs,Genre,Satire
Michail Alexandrowitsch Bakunin,beeinflusst von,E. T. A. Hoffmann
Paris Hilton,Tätigkeit,DJ
Ungarn,diplomatische Beziehung,Kuba
Schweden,Mitglied von,Visa-Waiver-Programm
Daniel Johnston,Tätigkeit,Pianist
Saul Bellow,beeinflusst von,Mark Twain
Nelly Furtado,Genre,Rhythm and Blues
John Maynard Keynes,Tätigkeit,Politiker
Jann Arden,Tätigkeit,Filmproduzent
Lena Meyer-Landrut,Tätigkeit,Komponist
Robert Graves,Tätigkeit,Science-Fiction-Schriftsteller
Wiz Khalifa,Religionszugehörigkeit,Katholizismus
Costa Rica,diplomatische Beziehung,Georgien
Deryck Whibley,Instrument,Klavier
Dominikanische Republik,diplomatische Beziehung,Mexiko
Paul Hindemith,Arbeitgeber,Harvard University
George Harrison,Tätigkeit,Gitarrist
Joe Cocker,Instrument,Stimme
Schweden,diplomatische Beziehung,Uruguay
Alberto Manguel,Erkrankung,Schlaganfall
Jim Morrison,Land der Staatsangehörigkeit,Vereinigte Staaten
John Ruskin,Mitglied von,American Academy of Arts and Sciences
Sergei Wjatscheslawowitsch Lasarew,Tätigkeit,Musiker
Nepal,diplomatische Beziehung,Ungarn
Spanien,diplomatische Beziehung,Volksrepublik China
Togo,Mitglied von,Vereinte Nationen
Vereinigtes Königreich,diplomatische Beziehung,Irland
Selena Quintanilla-Pérez,Tätigkeit,Sänger
Papua-Neuguinea,Mitglied von,Asiatisch-Pazifische Wirtschaftsgemeinschaft
Estland,diplomatische Beziehung,Ungarn
Carl Friedrich von Weizsäcker,Mitglied von,Bayerische Akademie der Wissenschaften
Eldar Alexandrowitsch Rjasanow,gesprochene oder publizierte Sprachen,Russisch
Christina Milian,Instrument,Stimme
Island,Mitglied von,Interpol
Tony Visconti,Tätigkeit,Produzent
Gotthelf Fischer von Waldheim,Tätigkeit,Schriftsteller
Athanasius Kircher,Tätigkeit,Mathematiker
Australien,diplomatische Beziehung,Vereinigtes Königreich
Indonesien,diplomatische Beziehung,Schweiz
Oprah Winfrey,beeinflusst von,Maya Angelou
Alexander Agassiz,Mitglied von,Preußische Akademie der Wissenschaften
Franco Battiato,Land der Staatsangehörigkeit,Italien
Finnland,diplomatische Beziehung,Australien
Lori Lieberman,Tätigkeit,Komponist
Ava Gardner,Sterbeort,London
Alla Borissowna Pugatschowa,Land der Staatsangehörigkeit,Sowjetunion
Ilja Grigorjewitsch Ehrenburg,Begräbnisort,Nowodewitschi-Friedhof
Nordmazedonien,diplomatische Beziehung,Heiliger Stuhl
Frankreich,Mitglied von,Europarat
Burkina Faso,Mitglied von,African Union/United Nations Hybrid Operation in Darfur
Elfenbeinküste,Mitglied von,UNESCO
Kosovo,diplomatische Beziehung,Volksrepublik China
A. R. Rahman,Instrument,Gitarre
Hector Berlioz,Tätigkeit,Librettist
Weißrussland,diplomatische Beziehung,Schweiz
Georgien,diplomatische Beziehung,Guyana
Christopher Hitchens,beeinflusst von,Vladimir Nabokov
Äthiopien,Mitglied von,Afrikanische Union
Marcelin Berthelot,Todesursache,Herzinfarkt
Mexiko,diplomatische Beziehung,Vereinigtes Königreich
Ungarn,diplomatische Beziehung,Niederlande
Dänemark,Mitglied von,Visa-Waiver-Programm
Karel Jaromír Erben,Mitglied von,Sankt Petersburger Akademie der Wissenschaften
Kuba,Kontinent,Nordamerika
Republik China,diplomatische Beziehung,Kenia
Henri Bergson,beeinflusst von,Albert Einstein
Dominica,Mitglied von,Weltpostverein
Marokko,diplomatische Beziehung,Indien
Turkmenistan,Mitglied von,Organisation für Islamische Zusammenarbeit
A&M Records,Staat,Vereinigte Staaten
Republik China,diplomatische Beziehung,Tonga
Melissa Auf der Maur,Instrument,Stimme
Singapur,diplomatische Beziehung,Vereinigtes Königreich
Philippinen,Kontinent,Asien
Dean Martin,Tätigkeit,Musiker
Janel Parrish,Land der Staatsangehörigkeit,Vereinigte Staaten
George Santayana,Land der Staatsangehörigkeit,Spanien
Nordmazedonien,Mitglied von,Organisation für das Verbot chemischer Waffen
Dalida,gesprochene oder publizierte Sprachen,Englisch
Frédéric Chopin,gesprochene oder publizierte Sprachen,Polnisch
Republik Moldau,diplomatische Beziehung,Weißrussland
Christa Wolf,Mitglied von,Akademie der Künste der DDR
Jemen,diplomatische Beziehung,Oman
Friedrich Schiller,Religionszugehörigkeit,Evangelisch-lutherische Kirchen
Royal Society of Literature,Staat,Vereinigtes Königreich
Yasmina Reza,Tätigkeit,Romancier
Mercury Records,Gründungsort,Chicago
Ägypten,diplomatische Beziehung,Algerien
Teena Marie,Genre,Funk
Kevin Spacey,Land der Staatsangehörigkeit,Vereinigte Staaten
Wladimir Jewgenjewitsch Turtschinski,Tätigkeit,Prosaist
David Clayton-Thomas,Wohnsitz,Toronto
Carl Peter Thunberg,Tätigkeit,Philosoph
Raymond Aron,Bevölkerungsgruppe,Franzosen
Frank Sinatra,Plattenlabel,Columbia Records
Turkmenistan,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Namibia,diplomatische Beziehung,Israel
Volksrepublik China,diplomatische Beziehung,Polen
Hyde,Instrument,Saxophon
Lucy Liu,Tätigkeit,Sprecher
Patti Smith,Land der Staatsangehörigkeit,Vereinigte Staaten
Edward Said,Sterbeort,New York City
Rudolf Virchow,Mitglied von,Bayerische Akademie der Wissenschaften
Rick Wakeman,Plattenlabel,EMI
Waylon Jennings,Tätigkeit,Gitarrist
Jason Newsted,Tätigkeit,Singer-Songwriter
St. Kitts und Nevis,Mitglied von,Commonwealth of Nations
T.I.,Tätigkeit,Filmproduzent
Ricky Martin,Tätigkeit,Komponist
Nordkorea,Mitglied von,International Hydrographic Organization
Dima Bilan,Tätigkeit,Komponist
Warner Music Group,Hauptverwaltung,New York City
Vanessa Hudgens,Plattenlabel,Hollywood Records
Ungarn,diplomatische Beziehung,Belgien
Singapur,diplomatische Beziehung,Indien
Selena Gomez,Instrument,Stimme
Amerie,Tätigkeit,Model
Alicia Keys,Instrument,Stimme
Kambodscha,diplomatische Beziehung,Georgien
Liv Ullmann,Tätigkeit,Autobiograf
Ernst Mach,besuchte Bildungseinrichtung,Universität Wien
Eddie Money,Sterbeort,Los Angeles
Hayley Kiyoko,Tätigkeit,Schauspieler
John Lennon,Genre,Artrock
Ashanti,Land der Staatsangehörigkeit,Vereinigte Staaten
Paul Langevin,gesprochene oder publizierte Sprachen,Englisch
Gabriel Lamé,Land der Staatsangehörigkeit,Frankreich
Jaan Kaplinski,Land der Staatsangehörigkeit,Sowjetunion
Vereinigtes Königreich,Mitglied von,International Hydrographic Organization
Lionel Richie,Tätigkeit,Schauspieler
Saudi-Arabien,diplomatische Beziehung,Brunei
August Ludwig von Schlözer,Mitglied von,Bayerische Akademie der Wissenschaften
Al Franken,Tätigkeit,Schauspieler
Russland,diplomatische Beziehung,Mauritius
Dänemark,Mitglied von,Europäische Union
Chris Rea,Instrument,Klavier
Zooey Deschanel,Tätigkeit,Fernsehschauspieler
Wladimir Wladimirowitsch Putin,Land der Staatsangehörigkeit,Russland
Janel Parrish,Tätigkeit,Fernsehschauspieler
Mexiko,Mitglied von,Internationale Entwicklungsorganisation
Chile,diplomatische Beziehung,Frankreich
Republik China,diplomatische Beziehung,Senegal
Eleanor Roosevelt,gesprochene oder publizierte Sprachen,Französisch
São Tomé und Príncipe,Mitglied von,Afrikanische Union
Babyface,Tätigkeit,Schauspieler
Norwegen,Mitglied von,Nuclear Suppliers Group
Indien,diplomatische Beziehung,Dänemark
Mike Shinoda,Instrument,Schlagzeug
Republik Zypern,Mitglied von,UNESCO
Mae West,Tätigkeit,Drehbuchautor
Omar Sharif,Tätigkeit,Fernsehschauspieler
Joe Jonas,Geschwister,Kevin Jonas
Senegal,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Weißrussland,diplomatische Beziehung,Indien
Singapur,Mitglied von,International Hydrographic Organization
William H. Macy,gesprochene oder publizierte Sprachen,Englisch
Deutschland,Mitglied von,Europäische Weltraumorganisation
Philippinen,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Vereinigte Staaten,diplomatische Beziehung,Liberia
Common,Land der Staatsangehörigkeit,Vereinigte Staaten
Mali,Mitglied von,Internationale Finanz-Corporation
Douglas Adams,Tätigkeit,Komiker
Selena Quintanilla-Pérez,gesprochene oder publizierte Sprachen,Spanisch
Billy Preston,Tätigkeit,Keyboarder
Giorgio Gaber,Tätigkeit,Singer-Songwriter
Max Born,Tätigkeit,theoretischer Physiker
Sam Cooke,Tätigkeit,Aufnahmekünstler
Hugh Laurie,Religionszugehörigkeit,Atheismus
Patti Smith,Tätigkeit,Sänger
Heinrich Hertz,Mitglied von,Accademia Nazionale dei Lincei
Ginger Rogers,Tätigkeit,Schriftsteller
Daniel Lanois,Genre,New Wave
Irak,diplomatische Beziehung,Serbien
Christopher Hitchens,beeinflusst von,Thomas Jefferson
Albert Einstein,Mitglied von,Bayerische Akademie der Wissenschaften
Leo Strauss,Mitglied von,American Academy of Arts and Sciences
Ernst Troeltsch,Mitglied von,Bayerische Akademie der Wissenschaften
Sergei Wjatscheslawowitsch Lasarew,Genre,Popmusik
Vietnam,diplomatische Beziehung,Italien
Gotthold Ephraim Lessing,Bevölkerungsgruppe,Deutsche
Tadschikistan,diplomatische Beziehung,Bangladesch
São Tomé und Príncipe,Mitglied von,
Hannah Arendt,beeinflusst von,Alexis de Tocqueville
Paul Anka,gesprochene oder publizierte Sprachen,Englisch
Ilja Grigorjewitsch Ehrenburg,Tätigkeit,Kinderbuchautor
Ray Lankester,Mitglied von,Akademie der Wissenschaften der UdSSR
Frédéric Joliot-Curie,Mitglied von,Akademie der Wissenschaften der DDR
Galina Pawlowna Wischnewskaja,Tätigkeit,Schriftsteller
Kuwait,Mitglied von,UNESCO
Jon Bon Jovi,Genre,Country-Musik
Mario Vargas Llosa,Wohnsitz,Paris
Chris Brown,Tätigkeit,Sänger
David Lynch,Tätigkeit,Schauspieler
Slowenien,diplomatische Beziehung,Bulgarien
Frank Sinatra,Tätigkeit,Aufnahmekünstler
Taylor Swift,gesprochene oder publizierte Sprachen,Englisch
Mircea Eliade,Tätigkeit,Diplomat
Panama,diplomatische Beziehung,Vereinigte Staaten
Albanien,diplomatische Beziehung,Volksrepublik China
Ernst Florens Friedrich Chladni,gesprochene oder publizierte Sprachen,Deutsch
Montenegro,Mitglied von,Organisation für Sicherheit und Zusammenarbeit in Europa
Michail Wassiljewitsch Lomonossow,Arbeitsgebiet,Physik
Goldie Hawn,Bevölkerungsgruppe,Juden in den Vereinigten Staaten
Connie Smith,Arbeitsgebiet,Musikkomposition
Mosambik,diplomatische Beziehung,Finnland
M.I.A.,Land der Staatsangehörigkeit,Sri Lanka
Brian May,Instrument,Bassgitarre
Christina Milian,gesprochene oder publizierte Sprachen,Englisch
Thomas Mann,Arbeitgeber,Princeton University
Nikolai Jakowlewitsch Marr,Mitglied von,Russische Akademie der Wissenschaften
Jô Soares,gesprochene oder publizierte Sprachen,Englisch
Frankreich,Mitglied von,Vertrag über den Offenen Himmel
Duke Ellington,Sterbeort,New York City
David Cross,Land der Staatsangehörigkeit,Vereinigte Staaten
George Harrison,Tätigkeit,Musikproduzent
Ernst Troeltsch,Tätigkeit,Schriftsteller
Allan Sherman,Tätigkeit,Sprecher
John Cassavetes,Tätigkeit,Charakterdarsteller
Bangladesch,diplomatische Beziehung,Lettland
Omar Sharif,Tätigkeit,Schauspieler
Australien,diplomatische Beziehung,Südkorea
Kylie Minogue,Plattenlabel,EMI
Amanda Michalka,Tätigkeit,Fernsehschauspieler
Joseph Conrad,gesprochene oder publizierte Sprachen,Englisch
Johann Christian Poggendorff,Mitglied von,Königlich Schwedische Akademie der Wissenschaften
Jorge Luis Borges,gesprochene oder publizierte Sprachen,Spanisch
Ray Lankester,beeinflusst von,Thomas Henry Huxley
Irak,diplomatische Beziehung,Nordkorea
Sky Ferreira,Land der Staatsangehörigkeit,Vereinigte Staaten
Slavoj Žižek,Land der Staatsangehörigkeit,Slowenien
Ingeborg Bachmann,Tätigkeit,Dichter
Südafrika,diplomatische Beziehung,Eswatini
Liberia,diplomatische Beziehung,Ungarn
John Legend,Tätigkeit,Pianist
Chris Martin,Tätigkeit,Songschreiber
Tara Strong,gesprochene oder publizierte Sprachen,Englisch
George Harrison,Instrument,Bassgitarre
Johann Christian Poggendorff,Geburtsort,Hamburg
Kanada,diplomatische Beziehung,Ukraine
Jamaika,diplomatische Beziehung,Spanien
Jackie Jackson,Geschwister,La Toya Jackson
Sean Lennon,Instrument,Gitarre
Mýa,Plattenlabel,Interscope Records
Saudi-Arabien,diplomatische Beziehung,Irak
Miguel de Cervantes,Religionszugehörigkeit,römisch-katholische Kirche
Bayerische Akademie der Wissenschaften,Staat,Deutschland
Milan Kundera,Tätigkeit,Schriftsteller
Syrien,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Selma Lagerlöf,Tätigkeit,Dichter
Ägypten,diplomatische Beziehung,Brasilien
Vince Gill,Instrument,Mandoline
Simbabwe,Mitglied von,Weltpostverein
Percy Bysshe Shelley,Bewegung,Romantik
Ignaz Moscheles,Tätigkeit,Musiker
Melanie Chisholm,Instrument,Stimme
Tom Wolfe,Mitglied von,American Academy of Arts and Sciences
Kenia,diplomatische Beziehung,Uganda
Allan Sherman,Tätigkeit,Singer-Songwriter
Demi Lovato,Plattenlabel,Hollywood Records
Winston Churchill,Bevölkerungsgruppe,Engländer
Witali Lasarewitsch Ginsburg,Mitglied von,Russische Akademie der Wissenschaften
Vietnam,Mitglied von,UNESCO
John von Neumann,gesprochene oder publizierte Sprachen,Englisch
Tschechien,Mitglied von,UNESCO
Akademie der Wissenschaften der UdSSR,Staat,Sowjetunion
Uganda,ist Teil von,Ostafrika
Niger,Mitglied von,Organisation pour l’harmonisation en Afrique du droit des affaires
Nick Jonas,Genre,Popmusik
Umberto Eco,Land der Staatsangehörigkeit,Italien
Al Franken,Tätigkeit,Komiker
Janis Ian,Tätigkeit,Autobiograf
François Guizot,Tätigkeit,Historiker
Tunesien,Bevölkerungsgruppe,Juden
François-René de Chateaubriand,Bewegung,Romantik
Armenien,Mitglied von,Organisation für Sicherheit und Zusammenarbeit in Europa
Malta,diplomatische Beziehung,Serbien
Ghana,diplomatische Beziehung,Bangladesch
Jason Derulo,Plattenlabel,Geffen Records
Snoop Dogg,Tätigkeit,Drehbuchautor
John Ciardi,Tätigkeit,Dichter
50 Cent,Instrument,Stimme
William Butler Yeats,Land der Staatsangehörigkeit,Irland
Somalia,diplomatische Beziehung,Äthiopien
Griechenland,diplomatische Beziehung,Chile
Vladimir Prelog,Mitglied von,Académie des sciences
Vereinigtes Königreich,diplomatische Beziehung,Uruguay
Nigeria,diplomatische Beziehung,Griechenland
Neil Young,Instrument,Gitarre
Norwegen,diplomatische Beziehung,Vereinigte Staaten
Hayley Williams,Instrument,Schlagzeug
Heinrich Schliemann,Tätigkeit,Geschäftsmann
Michail Alexandrowitsch Bakunin,Arbeitsgebiet,Philosophie
Isaac Bashevis Singer,Todesursache,Schlaganfall
Zentralafrikanische Republik,Mitglied von,Internationale Fernmeldeunion
Brian Wilson,Genre,Pop-Rock
Malawi,diplomatische Beziehung,Deutschland
Irak,diplomatische Beziehung,Vereinigte Staaten
Jason Newsted,Tätigkeit,Musiker
Nikolai Wassiljewitsch Gogol,Tätigkeit,Romancier
Grenada,diplomatische Beziehung,Republik China
Archibald Vivian Hill,Land der Staatsangehörigkeit,Vereinigtes Königreich
Togo,Mitglied von,Multilaterale Investitions-Garantie-Agentur
Belgien,diplomatische Beziehung,Volksrepublik China
Georges Cuvier,Tätigkeit,Anthropologe
Liza Minnelli,Genre,Jazz
Vladimir Prelog,Mitglied von,American Academy of Arts and Sciences
Lion Feuchtwanger,gesprochene oder publizierte Sprachen,Deutsch
Mickey Rooney,Tätigkeit,Schauspieler
Lori Lieberman,Instrument,Stimme
Jennifer Love Hewitt,Tätigkeit,Filmschauspieler
Finnland,Mitglied von,Internationales Zentrum zur Beilegung von Investitionsstreitigkeiten
Heinrich Wilhelm Waldeyer,Arbeitgeber,Humboldt-Universität zu Berlin
Toni Morrison,Wohnsitz,New York City
Enzo Jannacci,Land der Staatsangehörigkeit,Königreich Italien
Paul G. Allen,Tätigkeit,Geschäftsmann
Kate Bush,Tätigkeit,Komponist
Kenneth Burke,Tätigkeit,Literaturkritiker
George Orwell,Tätigkeit,Journalist
Albert Camus,Genre,Roman
Immanuel Kant,Mitglied von,Preußische Akademie der Wissenschaften
Julieta Venegas,Tätigkeit,Schauspieler
Walter Benjamin,beeinflusst von,Charles Baudelaire
Jill Scott,Tätigkeit,Schauspieler
Tyrese,Tätigkeit,Musiker
John Cleese,Tätigkeit,Schriftsteller
Lisa Marie Presley,Tätigkeit,Singer-Songwriter
Ernest Hemingway,Tätigkeit,Journalist
Ruslana Lyschytschko,Instrument,Stimme
La Toya Jackson,Geschwister,Marlon Jackson
Alphonse Daudet,Tätigkeit,Romancier
Sarah Brightman,Tätigkeit,Singer-Songwriter
John de Lancie,Tätigkeit,Drehbuchautor
Richard Francis Burton,Tätigkeit,Zoologe
Niederlande,Amtssprache,Englisch
Mark Twain,Todesursache,Herzinfarkt
David Bowie,Instrument,Tasteninstrument
Algerien,diplomatische Beziehung,Staat Palästina
Danny Glover,Geburtsort,San Francisco
Niger,Mitglied von,UNESCO
Klaus Mann,Tätigkeit,Schriftsteller
Julian Fellowes,Tätigkeit,Filmregisseur
Vince Gill,Tätigkeit,Sprecher
Costa Rica,Mitglied von,UNESCO
Anthony Kiedis,Land der Staatsangehörigkeit,Vereinigte Staaten
Neil Young,Tätigkeit,Gitarrist
Dschibuti,Mitglied von,Arabische Liga
Harry Connick junior,Tätigkeit,Singer-Songwriter
Courtney Love,Tätigkeit,Singer-Songwriter
Jan Hammer,Tätigkeit,Songschreiber
"John William Strutt, 3. Baron Rayleigh",Religionszugehörigkeit,Anglikanismus
Paul Anka,Genre,Softrock
Toni Morrison,beeinflusst von,Virginia Woolf
Madonna,Tätigkeit,Tänzer
Türkei,Mitglied von,Organisation für Islamische Zusammenarbeit
Søren Kierkegaard,Tätigkeit,Schriftsteller
David Mitchell,Tätigkeit,Drehbuchautor
Leonhard Euler,Mitglied von,Königlich Schwedische Akademie der Wissenschaften
Alexander von Humboldt,Mitglied von,Russische Akademie der Wissenschaften
Marguerite Duras,Tätigkeit,Schriftsteller
Nick Cave,Tätigkeit,Schauspieler
Raymond Aron,Tätigkeit,Wirtschaftswissenschaftler
Luciano Berio,Sterbeort,Rom
Malawi,Kontinent,Afrika
Allan Sherman,Plattenlabel,Warner Bros. Entertainment
Billy Connolly,Plattenlabel,Polydor
Peter Handke,Land der Staatsangehörigkeit,Österreich
André-Marie Ampère,Mitglied von,Accademia Nazionale delle Scienze
Palau,Mitglied von,Asiatische Entwicklungsbank
Dannii Minogue,Tätigkeit,DJ
Colbie Caillat,Arbeitsgebiet,Musikkomposition
Ägypten,diplomatische Beziehung,Vereinigtes Königreich
Jay Chou,Instrument,Violine
Steve Allen,gesprochene oder publizierte Sprachen,Englisch
Paul McCartney,Tätigkeit,Aufnahmekünstler
Duke Ellington,Tätigkeit,Pianist
Bahamas,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Island,Mitglied von,Internationale Entwicklungsorganisation
Myanmar,diplomatische Beziehung,Republik China
Island,diplomatische Beziehung,Vereinigtes Königreich
George Steiner,gesprochene oder publizierte Sprachen,Deutsch
Anatole Abragam,Tätigkeit,Physiker
Konrad Lorenz,besuchte Bildungseinrichtung,Universität Wien
Oman,Kontinent,Asien
Bill Monroe,Tätigkeit,Singer-Songwriter
Josiah Willard Gibbs,Tätigkeit,Physiker
Mandy Moore,Tätigkeit,Singer-Songwriter
Rumänien,Mitglied von,Weltpostverein
Janet Jackson,Geschwister,Steven Randall Jackson
Vereinigte Staaten,diplomatische Beziehung,Kosovo
Robert Musil,Tätigkeit,Dramatiker
Carlos Fuentes,Genre,Poesie
Gottfried Wilhelm Leibniz,Tätigkeit,Biologe
Karl Valentin,Tätigkeit,Filmregisseur
Gene Kelly,Tätigkeit,Choreograf
David Mitchell,beeinflusst von,Italo Calvino
Friedrich Nietzsche,Tätigkeit,Hochschullehrer
Portugal,Mitglied von,Asiatische Entwicklungsbank
Ronald Reagan,Parteizugehörigkeit,Demokratische Partei
Konstantin Michailowitsch Simonow,Genre,Powest
Gilles Deleuze,beeinflusst von,Friedrich Nietzsche
Lea Michele,Tätigkeit,Sprecher
Accademia Nazionale dei Lincei,Staat,Italien
Carrie Fisher,gesprochene oder publizierte Sprachen,Französisch
Winston Churchill,Land der Staatsangehörigkeit,Vereinigtes Königreich Großbritannien und Irland
Queen Latifah,Genre,Rhythm and Blues
Cee-Lo Green,Tätigkeit,Filmschauspieler
Bobby Scott,Plattenlabel,ABC Records
Julio Iglesias,Tätigkeit,Songschreiber
Kanada,Mitglied von,Internationale Entwicklungsorganisation
Nick Cannon,Genre,Hip-Hop
Ecuador,Mitglied von,Welthandelsorganisation
Luxemburg,Mitglied von,Organisation für Sicherheit und Zusammenarbeit in Europa
Natalja Iljinitschna Ionowa,Tätigkeit,Sänger
Tristan Tzara,Genre,Poesie
Ciara,Genre,Popmusik
Iran,diplomatische Beziehung,Dänemark
Richard Wagner,Tätigkeit,Autor
Maxim Gorki,Tätigkeit,Journalist
Kenia,diplomatische Beziehung,Griechenland
David Crosby,Tätigkeit,Schauspieler
Christoph Wilhelm Hufeland,Arbeitgeber,Humboldt-Universität zu Berlin
Madonna,Genre,Contemporary R&B
Michael Jackson,Tätigkeit,Geschäftsmann
Belgien,Mitglied von,Internationale Finanz-Corporation
